"","Live","PTT","蘋果","中時","中央社","東森","自由","新頭殼","NowNews","聯合","TVBS","中廣","台視","華視","民視"
"移民法",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"細則",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"細胞",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"終身",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"終結者",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"荷包",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"處裡",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"被服",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"被害人",0,4,0,0,0,4,0,0,3,0,0,0,0,0,0
"野餐",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"鳥籠",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"勞保",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"勞動者",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"喉舌",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"喪葬費",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"場次",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"棒子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"港人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"短片",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"窗簾",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"童子",0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
"結尾",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"絕頂",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"視野",0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
"証據",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"詞彙",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"進步黨",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"鄉鎮",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"開端",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"集中營",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"傷害罪",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"傷痕",0,4,0,5,0,3,0,0,0,0,0,0,0,0,0
"圓形",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"意念",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"新人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"會館",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"楊梅",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"業主",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"業務員",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"極點",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"極權主義",0,4,6,0,0,0,6,0,0,0,0,0,0,0,0
"概要",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"煙蒂",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"畸形",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"盟友",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"聖上",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"裝甲車",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"解法",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"運動員",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"過客",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"酬勞",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"零點",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"電信業",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"電梯",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"預算案",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"預謀",0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
"團長",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"境界",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"實例",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"榮光",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"槍口",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"漁船",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"演藝圈",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"熔爐",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"稱號",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"精品店",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"綽號",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"臺商",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"蒼天",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"語意",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"輕重",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"輕傷",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"酷刑",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"領主",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"餅幹",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"劇情",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"嘴角",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"廢水",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"敵我",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"標的",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"標誌",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"標點符號",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"樣板戲",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"潛意識",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"碼子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"稿子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"範疇",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"篇章",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"編劇",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"罵名",0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
"蝦米",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"豬仔",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"豬頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"靠山",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"靠背",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"儒生",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"戰法",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"機房",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"橡膠",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"糖衣",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"輸贏",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"頭功",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"頭皮",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"餐飲",0,4,0,3,0,0,0,0,0,0,0,0,0,8,0
"優缺點",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"燭光",0,4,0,0,0,0,8,0,0,0,0,0,0,0,0
"環保局",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"總督",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"總編輯",0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"繁體",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"聯合會",0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"聰明人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"聲望",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"螺旋",0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
"蟑螂",0,4,0,0,0,0,0,0,0,0,0,0,0,10,0
"豁免權",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"賽風",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"隱憂",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"斷頭台",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"簡介",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"職位",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"雙邊",0,4,0,0,5,0,0,0,0,5,0,0,0,3,0
"關頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"難題",0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
"韻文",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"饅頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"騙局",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"鯨魚",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"寶劍",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"懸崖",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"籃球",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"警徽",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"鐮刀",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"鐵板",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"顧慮",0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"罐頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"靈氣",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"一角",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"一帶",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"一覽表",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"人工",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"人治",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"人流",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"人類學",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"人體",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"刀槍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"三角",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"三部曲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"上流",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"下圖",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"亡國奴",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"千金",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"口舌",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大王",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大字報",0,3,0,0,0,3,3,0,0,4,0,0,0,0,0
"大舌頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大俠",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大前提",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"大風",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大校",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大馬",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"大筆",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大象",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大隊",0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
"大廈",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大旗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大綱",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大錢",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"大餐",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"女孩子",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"女婿",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"子子孫孫",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"子弟",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"小人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"小心眼",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"小組長",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"小麥",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"小雞",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"山風",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"工時",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"中方",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"中央政府",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"中性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"中餐",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"五行",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"仁義",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"內傷",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公公",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公正性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公告欄",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公事",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公幹",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"公路",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"凶宅",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"分野",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"勾當",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"午覺",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"反派",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"天命",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"天性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"天橋",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"太后",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"巴士",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"引擎",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"心智",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"戶頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"手腕",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"手續",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"支柱",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"文傳",0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
"文藝",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"日軍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"水牛",0,3,0,0,0,0,4,0,0,0,0,0,0,0,0
"水表",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"水球",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"火球",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"火焰",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"王水",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"王侯",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"王室",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"世面",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"世間",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"主角",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"仙丹",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"代言人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"代表大會",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"代號",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"功利",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"加油站",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"半島",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"卡片",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"叫聲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"四海",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"外行",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"外表",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"外遇",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"外語",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"奶水",0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
"奶奶",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"巨輪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"市政",0,3,0,5,3,3,6,0,0,9,0,4,0,0,0
"市價",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"布局",0,3,12,7,0,0,0,0,0,4,0,0,0,0,0
"末年",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"本意",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"本體",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"正版",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"民主主義",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"民兵",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"永久性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"玉米",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"生活費",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"由來",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"申請書",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"白金",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"白話文",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"目地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"目擊者",0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
"石器",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"交情",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"交道",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"企業界",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"先人",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"光電",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"光輝",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"全班",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"共產黨員",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"冰雪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"冰層",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"印刷品",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"印刷廠",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"合運動",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"同行",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"名下",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"名家",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"地租",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"地域",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"地帶",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"地圖",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"奸細",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"好評",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"好意",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"字典",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"安全感",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"年份",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"年薪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"成見",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"成敗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"成語",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"收費站",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"死結",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"死黨",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"汗毛",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"百分百",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"老天爺",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"老兄",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"老江湖",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"老家",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"老農",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"耳光",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"肋骨",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"自制力",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"自衛隊",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"舌音",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"色情",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"血仇",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"血汗",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"行政區",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"衣裳",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"西洋鏡",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"住宅區",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"住處",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"作文",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"利器",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"含義",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"吹台",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"尿布",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"攻守",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"村里",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"步槍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"沙龍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"禿頭",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"私念",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"車行",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"車廂",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"車牌",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
"車道",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"邦交",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"乳酸",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"事理",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"來文",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"來信",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"兒戲",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"兩極",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"制式",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"刺客",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"協約",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"受益者",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"妻小",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"季節",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"宗旨",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"官位",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"底限",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"店鋪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"往事",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"性子",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"性愛",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"所在地",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"服務站",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"波浪",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"波濤",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"爭議性",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"玩具",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"社科",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"社論",0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
"空心菜",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"空軍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"空殼",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"糾葛",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"股民",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"花果山",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"花瓶",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"表格",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"長者",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"長相",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"長廊",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"長進",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"青年團",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"青色",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"青壯年",0,3,0,0,0,0,0,0,0,0,0,0,0,6,0
"保守派",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"保單",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"信譽",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"冠軍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"前例",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"品種",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"哈欠",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"城鄉",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"姿勢",0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"孩兒",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"客廳",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"室友",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"屋子",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"巷道",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"帝王",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"建築業",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"急救站",0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
"急診室",0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"指揮部",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"指揮權",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"政局",0,3,3,4,0,0,0,0,0,3,0,0,0,0,0
"政治犯",0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
"春筍",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"柔道",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"津貼",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"活路",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"看台",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
